attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
4101,0.1309078597,0.4211780443,0.223614864,-0.0206049797,0.0955694224,0.0304454419,654.11996563,0.7509015028,0.0815694662
4201,0.1165612716,0.4132464938,0.2304979727,-0.0228643121,0.0889042353,0.0310817007,667.05209551,0.7757697184,0.0832741315
4301,0.1183037655,0.3970482716,0.2280892647,-0.01938671,0.0907494889,0.0305386418,617.5668838,0.7731455086,0.0818191674
4401,0.1297768519,0.4134043539,0.2324243924,-0.0180214218,0.0891348056,0.030743157,709.81035284,0.7835622858,0.0823671049
4501,0.1168424887,0.3962352576,0.2257495948,-0.0216090324,0.0919628514,0.0317646942,608.5924686,0.7680964922,0.0851040085
4601,0.1275914717,0.40942074,0.2325509081,-0.0230492473,0.0873486943,0.0329624746,742.01024889,0.7919845719,0.0883131032
4701,0.1450082693,0.3979236814,0.2322895873,-0.0211157881,0.0903911757,0.028550975,709.29047129,0.7797791562,0.076493808
4801,0.1288534236,0.4134586679,0.2275766644,-0.02272008,0.0919841268,0.0298997211,669.56172276,0.7640133076,0.0801073703
4901,0.1099316844,0.414610538,0.2283095604,-0.0230352103,0.0878526855,0.0279859473,635.23307919,0.7668370757,0.0749799852
5001,0.1384753451,0.4083179472,0.2289201378,-0.0235522995,0.0954737703,0.0278042402,642.12567156,0.7520928883,0.0744931553
5101,0.1265254184,0.4281852232,0.2237748657,-0.0224922564,0.0937641863,0.0333646203,693.19136231,0.7604102689,0.0893905325
5201,0.1274191846,0.4192711303,0.2278378739,-0.0222934993,0.0898446106,0.0304975955,705.86715714,0.7717030431,0.0817091961
5301,0.1404212871,0.4212278373,0.2333901966,-0.0223904783,0.0977308125,0.0305300842,660.59538374,0.753635281,0.08179624
5401,0.1228520095,0.3936131501,0.2269721046,-0.018209441,0.0866290232,0.0329494477,701.5097453,0.795931224,0.0882782017
