year,revenueGrowthRate,operatingMargin,normalizedTaxRate,depreciationAsPercentRevenue,capexAsPercentRevenue,changeInWorkingCapitalAsPercentRevenue,revenue,ebit,nopat,depreciationAndAmortization,capitalExpenditure,changeInWorkingCapital,fcff,discountFactor,presentValueOfFcff
2027,0.22,0.41437855159579234,0.17563464620055663,0.09263258461630325,0.22647886638986997,-0.022331152888666245,245178.52,101596.72,83752.81602766298,22711.519999999997,55527.75327274606,-5475.119015136915,56411.70177005383,0.9171811374384986,51739.74879429933
2028,0.19083333333333333,0.41437855159579234,0.17563464620055663,0.09263258461630325,0.22647886638986997,-0.022331152888666245,291966.75423333334,120984.76073333334,99735.64508627534,27045.635066666666,66124.2995222951,-6519.954227192209,67176.93485783912,0.841221238872978,56510.66436480076
2029,0.16166666666666668,0.41437855159579234,0.17563464620055663,0.09263258461630325,0.22647886638986997,-0.022331152888666245,339168.0461677222,140543.96371855555,115859.57437522316,31418.012735777775,76814.3946117328,-7574.013493921616,78037.20599318975,0.7715522527069408,60209.78207900114
2030,0.1325,0.41437855159579234,0.17563464620055663,0.09263258461630325,0.22647886638986997,-0.022331152888666245,384107.8122849454,159166.03891126416,131210.96797994024,35580.899423268325,86992.3018977874,-8577.57028186623,88377.13578728739,0.7076531727309878,62540.36053675125
2031,0.10333333333333335,0.41437855159579234,0.17563464620055663,0.09263258461630325,0.22647886638986997,-0.022331152888666245,423798.95288772305,175613.19626542812,144769.43467120072,39257.59236367272,95981.50642722542,-9463.919210992406,97509.43981864041,0.6490461418773698,63288.125710912136
2032,0.07416666666666666,0.41437855159579234,0.17563464620055663,0.09263258461630325,0.22647886638986997,-0.022331152888666245,455230.7085602292,188637.84165511405,155506.50107598148,42169.197130645116,103100.134820578,-10165.826552474344,104741.38993852293,0.5952928786571551,62351.803531054895
2033,0.04500000000000001,0.41437855159579234,0.17563464620055663,0.09263258461630325,0.22647886638986997,-0.022331152888666245,475716.0904454395,197126.54452959416,162504.2936244006,44066.81100152415,107739.64088750399,-10623.28874733569,109454.75248575644,0.5459913995558076,59761.35349773266
