rowValue,columnValue,estimatedValuePerShare
0.08029717160647007,0.019999999999999997,755.5856953493042
0.08029717160647007,0.024999999999999998,802.826268441619
0.08029717160647007,0.03,859.3612105452122
0.08029717160647007,0.034999999999999996,928.2683194612431
0.08029717160647007,0.04,1014.1529432771398
0.08529717160647006,0.019999999999999997,690.0580694779965
0.08529717160647006,0.024999999999999998,728.384675539481
0.08529717160647006,0.03,773.556070386783
0.08529717160647006,0.034999999999999996,827.6135583021897
0.08529717160647006,0.04,893.4997379357802
0.09029717160647006,0.019999999999999997,634.069635663431
0.09029717160647006,0.024999999999999998,665.5653675808065
0.09029717160647006,0.03,702.2079363873495
0.09029717160647006,0.034999999999999996,745.393481362785
0.09029717160647006,0.04,797.0732979656588
0.09529717160647007,0.019999999999999997,585.7124703714786
0.09529717160647007,0.024999999999999998,611.8806561968636
0.09529717160647007,0.03,641.987906905192
0.09529717160647007,0.034999999999999996,677.014135345938
0.09529717160647007,0.04,718.2936713562838
0.10029717160647006,0.019999999999999997,543.5541716674464
0.10029717160647006,0.024999999999999998,565.5039278023618
0.10029717160647006,0.03,590.5144874317986
0.10029717160647006,0.034999999999999996,619.2889752285146
0.10029717160647006,0.04,652.7637356512133
