name,wacc,stableGrowthRate,enterpriseValue,equityValue,estimatedValuePerShare,terminalValueShare
conservative,0.10029717160647006,0.024999999999999998,1087955.7761217596,1085234.7761217596,421.6141321374357,0.7349652701938537
base,0.09029717160647006,0.03,1810204.2282610377,1807483.2282610377,702.2079363873495,0.7699696907046968
optimistic,0.08279717160647007,0.034999999999999996,2773391.677789799,2770670.677789799,1076.4066347279716,0.8092204035015614
