rowValue,columnValue,estimatedValuePerShare
0.165,0.37437855159579236,742.557340660688
0.165,0.3943785515957923,786.5641189493323
0.165,0.41437855159579234,830.5708972379769
0.165,0.43437855159579236,874.5776755266214
0.165,0.4543785515957923,918.5844538152656
0.1925,0.37437855159579236,864.3352924654151
0.1925,0.3943785515957923,915.3006135081174
0.1925,0.41437855159579234,966.2659345508199
0.1925,0.43437855159579236,1017.2312555935222
0.1925,0.4543785515957923,1068.1965766362246
0.22,0.37437855159579236,1003.5028735936434
0.22,0.3943785515957923,1062.4024296914354
0.22,0.41437855159579234,1121.3019857892273
0.22,0.43437855159579236,1180.2015418870192
0.22,0.4543785515957923,1239.1010979848108
0.2475,0.37437855159579236,1162.1165885452026
0.2475,0.3943785515957923,1230.0402886475363
0.2475,0.41437855159579234,1297.9639887498697
0.2475,0.43437855159579236,1365.8876888522034
0.2475,0.4543785515957923,1433.811388954537
0.275,0.37437855159579236,1342.4244503012794
0.275,0.3943785515957923,1420.586987051815
0.275,0.41437855159579234,1498.749523802351
0.275,0.43437855159579236,1576.9120605528872
0.275,0.4543785515957923,1655.0745973034234
