name,wacc,stableGrowthRate,enterpriseValue,equityValue,estimatedValuePerShare,terminalValueShare
conservative,0.12289442706471297,0.024999999999999998,1838386.2333518928,1886931.2333518928,76.97361643762311,0.6130320533696859
base,0.11289442706471296,0.03,2880929.06285463,2929474.06285463,119.50208300785796,0.6621929645897626
optimistic,0.10539442706471297,0.034999999999999996,4153717.9027413647,4202262.902741365,171.42297881787408,0.7066964602203879
