rowValue,columnValue,estimatedValuePerShare
0.22499999999999998,0.5638168363141272,141.1746671002584
0.22499999999999998,0.5838168363141272,146.40212083777988
0.22499999999999998,0.6038168363141272,151.62957457530138
0.22499999999999998,0.6238168363141272,156.8570283128229
0.22499999999999998,0.6438168363141272,162.0844820503444
0.2625,0.5638168363141272,170.3424779177279
0.2625,0.5838168363141272,176.64611024107796
0.2625,0.6038168363141272,182.94974256442805
0.2625,0.6238168363141272,189.25337488777814
0.2625,0.6438168363141272,195.55700721112817
0.3,0.5638168363141272,204.8833044312378
0.3,0.5838168363141272,212.4594399237733
0.3,0.6038168363141272,220.03557541630866
0.3,0.6238168363141272,227.61171090884415
0.3,0.6438168363141272,235.18784640137955
0.33749999999999997,0.5638168363141272,245.6171873432904
0.33749999999999997,0.5838168363141272,254.69194499727826
0.33749999999999997,0.6038168363141272,263.7667026512661
0.33749999999999997,0.6238168363141272,272.841460305254
0.33749999999999997,0.6438168363141272,281.9162179592419
0.375,0.5638168363141272,293.46240761766023
0.375,0.5838168363141272,304.29525691443166
0.375,0.6038168363141272,315.12810621120315
0.375,0.6238168363141272,325.9609555079746
0.375,0.6438168363141272,336.793804804746
