year,revenueGrowthRate,operatingMargin,normalizedTaxRate,depreciationAsPercentRevenue,capexAsPercentRevenue,changeInWorkingCapitalAsPercentRevenue,revenue,ebit,nopat,depreciationAndAmortization,capitalExpenditure,changeInWorkingCapital,fcff,discountFactor,presentValueOfFcff
2027,0.3,0.6038168363141272,0.1,0.011114301327232817,0.024797504923484832,0.07495354639892668,280719.4,169503.1,152552.79,3120.0000000000005,6961.140703617709,21040.91457297886,127670.73472340344,0.8985578287398969,114719.53818668875
2028,0.2575,0.6038168363141272,0.1,0.011114301327232817,0.024797504923484832,0.07495354639892668,353004.64550000004,213150.14825000003,191835.13342500004,3923.4000000000005,8753.634434799269,26458.950075520916,160545.94891467987,0.8074061715897578,129625.7899774465
2029,0.215,0.6038168363141272,0.1,0.011114301327232817,0.024797504923484832,0.07495354639892668,428900.6442825001,258977.43012375003,233079.68711137504,4766.931000000001,10635.665838281113,32147.624341757917,195063.32793133604,0.7255011364548853,141518.66609485628
2030,0.1725,0.6038168363141272,0.1,0.011114301327232817,0.024797504923484832,0.07495354639892668,502886.00542123127,303651.0368200969,273285.9331380872,5589.2265975,12470.318195384601,37693.08954071115,228711.75199949148,0.6519047259212294,149098.27200219268
2031,0.13,0.6038168363141272,0.1,0.011114301327232817,0.024797504923484832,0.07495354639892668,568261.1861259913,343125.6716067094,308813.1044460385,6315.826055175,14091.459560784599,42593.191181003596,258444.27975942532,0.5857740950690574,151389.96410185168
2032,0.08749999999999997,0.6038168363141272,0.1,0.011114301327232817,0.024797504923484832,0.07495354639892668,617984.0399120154,373149.1678722965,335834.2510850668,6868.460835002811,15324.46227235325,46320.095409341404,281058.154238375,0.5263518989973303,147935.49321205323
2033,0.044999999999999984,0.6038168363141272,0.1,0.011114301327232817,0.024797504923484832,0.07495354639892668,645793.321708056,389940.88042654976,350946.7923838948,7177.541572577937,16014.063074609143,48404.499702761765,293705.77117910184,0.47295761951616255,138910.38237502676
