rowValue,columnValue,estimatedValuePerShare
0.10289442706471297,0.019999999999999997,127.50304549403486
0.10289442706471297,0.024999999999999998,132.16842829881276
0.10289442706471297,0.03,137.46146207450235
0.10289442706471297,0.034999999999999996,143.52081452875944
0.10289442706471297,0.04,150.52924875705983
0.10789442706471296,0.019999999999999997,119.46260965661737
0.10789442706471296,0.024999999999999998,123.42967342122265
0.10789442706471296,0.03,127.89481090125712
0.10789442706471296,0.034999999999999996,132.9605142354517
0.10789442706471296,0.04,138.75946718301728
0.11289442706471296,0.019999999999999997,112.30904511833222
0.11289442706471296,0.024999999999999998,115.70578563330598
0.11289442706471296,0.03,119.50208300785796
0.11289442706471296,0.034999999999999996,123.77487924053042
0.11289442706471296,0.04,128.62222685961166
0.11789442706471297,0.019999999999999997,105.905801665025
0.11789442706471297,0.024999999999999998,108.8322614110268
0.11789442706471297,0.03,112.08234093718166
0.11789442706471297,0.034999999999999996,115.71460023206988
0.11789442706471297,0.04,119.80263501681091
0.12289442706471296,0.019999999999999997,100.14289514649312
0.12289442706471296,0.024999999999999998,102.67822857552856
0.12289442706471296,0.03,105.4779302734905
0.12289442706471296,0.034999999999999996,108.58711713989487
0.12289442706471296,0.04,112.0617914621213
