attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
4201,0.1413870564,0.5886030663,0.022525355,0.0731531707,0.1144943903,0.0335984255,100.77231265,0.6533636546,0.0839960638
4301,0.1740711064,0.5962378574,0.0215359605,0.0782716582,0.110235007,0.0330747167,128.13161567,0.6806514037,0.0826867918
4401,0.1646181672,0.5916232641,0.0275051132,0.0780289855,0.1225291586,0.0305840215,100.97173566,0.6346819478,0.0764600538
4501,0.1764908341,0.593651038,0.02424585,0.0771082124,0.1146555009,0.0323770217,120.88122635,0.6661493995,0.0809425544
4601,0.1873262537,0.6054917422,0.0250634769,0.0736969273,0.115499278,0.0309204189,128.22602092,0.6619627854,0.0773010473
4701,0.142045402,0.5883270875,0.0247347156,0.0747126881,0.1131464305,0.0290924845,99.5504018,0.649486385,0.0727312113
4801,0.1718103165,0.6107711343,0.0282416799,0.0750904435,0.1140935336,0.0288592848,119.38487849,0.6578644246,0.0721482121
4901,0.1535256926,0.5924050828,0.0316002233,0.0777635733,0.1107260081,0.0288223547,109.07366228,0.666204997,0.0720558868
5001,0.1742090314,0.6044714426,0.027679702,0.0763778637,0.107581525,0.0316504902,133.23315341,0.6876289475,0.0791262254
5101,0.1620440366,0.5894282313,0.0250856601,0.0777965732,0.1108993463,0.0296504048,114.50840305,0.6677945756,0.074126012
5201,0.1379264677,0.5990899142,0.0206063748,0.0745737618,0.1135942307,0.0329795407,101.55446705,0.6525242574,0.0824488518
5301,0.1326178583,0.5933549378,0.033138605,0.0776322633,0.1131005991,0.0285325884,94.31599712,0.6499221271,0.0713314711
5401,0.1797024978,0.5990301773,0.0247659434,0.0757762621,0.111193594,0.0303900615,128.33797271,0.67326719,0.0759751539
5501,0.1523195995,0.6045148087,0.025685869,0.0744206007,0.1167442014,0.0308933345,104.534541,0.6450627703,0.0772333362
5601,0.1466901422,0.6003722078,0.0282731403,0.0757962977,0.1091297439,0.027616204,108.43367333,0.662667632,0.0690405099
5701,0.1965490069,0.6034834233,0.0255242734,0.0768726996,0.1118549664,0.025967071,135.78042403,0.6677704863,0.0649176775
5801,0.1762407811,0.609241485,0.0259370736,0.078403368,0.1166115146,0.0300258166,118.82509265,0.6547072299,0.0750645416
5901,0.1997198221,0.6009946715,0.0256662649,0.0731214619,0.1081394514,0.0285508282,147.50271485,0.6850590651,0.0713770704
6001,0.1633266571,0.5963721353,0.0312314049,0.0746545005,0.1097592075,0.0283406948,117.19234973,0.6699377263,0.070851737
6101,0.1667255542,0.5966983165,0.023228978,0.078684227,0.1133787071,0.0285540512,114.33826607,0.6578892014,0.0713851279
6201,0.1838795165,0.5931425198,0.0266973819,0.073268939,0.1158342852,0.0294038153,121.39092773,0.6577237045,0.0735095383
6301,0.1852771729,0.5849279255,0.0249246219,0.0771621397,0.111241883,0.0257319683,124.67230444,0.6663756513,0.0643299207
6401,0.197095278,0.6098719601,0.024687372,0.0736723365,0.1136430193,0.029900381,138.44012273,0.6686646534,0.0747509524
6501,0.1853422083,0.5922090555,0.026043872,0.0741752743,0.1184077183,0.0308409478,119.24503951,0.6534799463,0.0771023695
6601,0.1625637885,0.6130084251,0.032091841,0.0782284584,0.118867205,0.0312174924,108.44599029,0.6475081123,0.0780437309
6701,0.1611938335,0.5779647726,0.0300166433,0.0774061632,0.1149721863,0.0304788525,106.04158955,0.6593436553,0.0761971312
6801,0.1519685919,0.5820345989,0.0231810975,0.0772844107,0.1168085735,0.0292095321,99.1195923,0.6428561883,0.0730238303
6901,0.1645485278,0.6003532619,0.0291909081,0.0786664044,0.1094884105,0.0337540733,123.88505666,0.684958693,0.0843851832
7001,0.1785298626,0.6051032189,0.0268348842,0.0740332733,0.1155716263,0.028206134,119.93210447,0.6534495302,0.0705153349
7101,0.168160226,0.6208921109,0.0256634139,0.0757486646,0.1134598379,0.027828464,119.47828075,0.6545158779,0.0695711599
7201,0.1800777786,0.6025938467,0.0279600659,0.0759398799,0.1201985295,0.0278723872,113.20877919,0.6405772063,0.0696809681
7301,0.172537552,0.5889643994,0.0223013986,0.075908407,0.107222429,0.0337523544,131.86093002,0.6918082737,0.084380886
7401,0.1553011794,0.6236467101,0.0242968662,0.0780945267,0.1127680508,0.0294486783,114.2154689,0.6557467334,0.0736216958
7501,0.1988900782,0.6020386681,0.0247936319,0.0747103889,0.1139456754,0.0302032611,137.4796984,0.670123168,0.0755081527
7601,0.1476706591,0.5812747656,0.0335683156,0.0754026302,0.115543578,0.027144755,96.36968966,0.6452022287,0.0678618876
7701,0.1538120814,0.6124861162,0.0313648454,0.0750027397,0.1174135508,0.0270571652,103.01796046,0.6375712747,0.067642913
7801,0.1552299794,0.5750203869,0.0224546977,0.0731210226,0.1119077242,0.0296821244,106.75958333,0.6592682746,0.074205311
7901,0.1344590779,0.6108591509,0.0332667554,0.0773527541,0.1131782837,0.0267765536,97.06698975,0.6448609161,0.0669413839
8001,0.1526939694,0.6185818171,0.0235636477,0.0766118379,0.1117390099,0.0288833932,112.93770728,0.6560938397,0.072208483
8101,0.1899775567,0.6139741857,0.0264366585,0.07669896,0.1133448159,0.0310273145,135.42482125,0.6716380978,0.0775682864
8201,0.1774799246,0.5999362469,0.0268150771,0.0740089987,0.1128327762,0.0333676849,126.85580505,0.6741269112,0.0834192122
8301,0.1896097689,0.5881994556,0.0249811262,0.0738601247,0.1143386043,0.0303475593,127.32543592,0.666536103,0.0758688983
8401,0.145931262,0.5900218325,0.0249475498,0.0778001265,0.1100628965,0.0316981092,107.86893061,0.6691556745,0.0792452731
8501,0.167570727,0.607989134,0.0292762279,0.076186299,0.1120326418,0.0267755911,117.51302731,0.6594460958,0.0669389778
8601,0.1706706688,0.5982267979,0.027032446,0.0771239403,0.109639584,0.0294367994,123.58112057,0.6746480869,0.0735919985
8701,0.1602164954,0.6007110948,0.0249830047,0.0745803342,0.1089655214,0.0303445557,119.62802606,0.6727204407,0.0758613891
8801,0.1854945239,0.6163803734,0.0259739224,0.0783043872,0.1106836179,0.032265369,138.84123079,0.682018328,0.0806634226
8901,0.1374646619,0.5878281292,0.024478201,0.0772898273,0.1123151427,0.033554918,100.92401214,0.6622756805,0.083887295
9001,0.143126647,0.6124809049,0.024322662,0.0780852701,0.1150249038,0.0337912278,104.9162092,0.6543511821,0.0844780694
9101,0.1447396705,0.5933575829,0.0254048111,0.0764224987,0.1178815038,0.0266026566,94.48869431,0.6305361018,0.0665066416
9201,0.1795702083,0.6011104929,0.0238266199,0.0792651269,0.1138028026,0.0309852564,124.56730947,0.6671719538,0.0774631409
9301,0.175969447,0.5958565238,0.0235554941,0.0741050696,0.1199864957,0.0333822153,114.00469932,0.6489042883,0.0834555383
9401,0.1587672336,0.5939381069,0.0295235255,0.0740907094,0.11073042,0.0323024728,115.78220658,0.6734462023,0.0807561821
9501,0.1403289099,0.5838926298,0.0236468386,0.0741778689,0.1127458902,0.0288747367,98.34264667,0.6491095444,0.0721868416
9601,0.1560895011,0.581123723,0.023885292,0.0743487981,0.1103523735,0.0308757601,111.42128349,0.6685368003,0.0771894002
9701,0.1732539039,0.5988231494,0.0298620019,0.0744883317,0.1085434095,0.0314330884,129.22432783,0.6840724536,0.0785827209
9801,0.1775421379,0.5771002988,0.0297397271,0.0780980151,0.1154419652,0.0288876703,113.56009772,0.6608400844,0.0722191757
9901,0.1884606868,0.6125873358,0.0257676009,0.0761446441,0.1105366204,0.0314410379,139.79415091,0.6807538933,0.0786025946
10001,0.1690746719,0.5989773741,0.026184059,0.0755522199,0.114069107,0.0335175273,119.12134615,0.667743396,0.0837938183
10101,0.1417734456,0.5892484112,0.0254223665,0.0760148052,0.1103496887,0.0253915342,100.60629133,0.6510257627,0.0634788354
10201,0.1312131951,0.6190734572,0.027507384,0.0768227508,0.1123806807,0.0329829009,102.2841585,0.6569961022,0.0824572522
10301,0.1794462378,0.6020365608,0.0257241977,0.0777963813,0.1110224203,0.0324740276,130.81793007,0.6798962625,0.0811850689
10401,0.1765655315,0.5998577937,0.0311313367,0.0751776123,0.1134056132,0.0275804898,119.94088451,0.6613330903,0.0689512246
10501,0.1873760853,0.5940416086,0.0258621374,0.0766107626,0.1120726024,0.0284015494,128.96901738,0.6699654562,0.0710038734
10601,0.1627000785,0.5993296682,0.0237711627,0.0742298731,0.111082286,0.0308861132,118.08158595,0.6671850166,0.077215283
